,P115-0-5-7-D-AMFungi,GW-P115-7-F-AMFungi,P115-5-15-22-D-AMFungi,P115-22-F-AMFungi,P122-0-5-10-D-AMFungi,P122-10-F-AMFungi,P122-25-D-ITS2-AMFungi,P122-25-F-ITS2-AMFungi,P133-0-5-15-D-AMFungi,P133-15-F-AMFungi,P133-5-15-30-D-AMFungi,P133-30-F-AMFungi,P117-5-15-51-D-ITS2,DW-17-5-15-51-F-ITS2,P138-5-15-60-D-ITS2,DW-38-5-15-60-F-ITS2,P138-0-5-45-D-ITS2,LDW-38-0-5--45-F-ITS2,P141-0-5-95-D-ITS2,LDW-41-0-5-95-F-AMFungi,AM2-UF-0-5-D-AMFungi,AM2-UF-0-5-F-AMFungi,AM2-UF-5-15-D-AMFungi,AM2-UF-5-15-F-AMFungi,AM3-UF-0-5-D-AMFungi,AM3-UF-0-5-F-AMFungi,AM3-UF-5-15-D-AMFungi,AM3-UF-5-15-F-AMFungi,ECM2-UF-5-15-D-AMFungi,ECM2-5-15-F-AMFungi,ECM2-UF-0-5-D-AMFungi,ECM2-UF-0-5-F-AMFungi,MV6-Ref-0-5-D-AMFungi,MV6-Ref-0-5-F-AMFungi,MV6-Ref-5-15-D-AMFungi,MV6-Ref-5-15-F-AMFungi,MV9-Ref-0-5-D-AMFungi,MV9-Ref-0-5-F-AMFungi,MV9-Ref-5-15-D-AMFungi,MV9-Ref-5-15-F-AMFungi,123-0-5-67-D-AMFungi,23-0-5-67-F-AMFungi,P123-5-15-D-ITS2,23-5-15-82-F-AMFungi,P24-0-5-68-D-AMFungi,P24-0-5-68-F-AMFungi,P102-0-5-73-D-AMFungi,102-0-5-73-F-AMFungi,P102-5-15-D-AMFungi,P102-5-15-F-AMFungi,P102-0-5-D-AMFungi,P102-0-5-F-AMFungi,P18-0-5-D-AMFungi,P18-0-5-F-AMFungi,P18-5-15-D-AMFungi,P18-5-15-F-AMFungi,P19-5-15-D-AMFungi,P19-5-15-F-AMFungi,P4-0-5-D-AMFungi,P4-0-5-F-AMFungi,P4-5-15-D-AMFungi,P4-5-15-F-AMFungi,P55-0-5-D-AMFungi,P55-0-5-F-AMFungi,P55-5-15-D-AMFungi,P55-5-15-F-AMFungi,P6-0-5-D-AMFungi,P6-0-5-F-AMFungi,P6-5-15-D-AMFungi,P6-5-15-F-AMFungi
ASV191,0,0,0,0,0,0,0,0.053908709,0,0,0,0.019013128,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006693938,0.014734774,0.036803714,0,0,0,0,0,0,0,0,0,0,0.006336634,0,0,0,0,0.002926258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010530138,0,0,0,0,0,0,0,0,0,0.027855153,0,0.005363036
ASV192,0,0,0,0,0,0,0,0.010099685,0,0,0,0,0.038113518,0,0,0,0,0.08401084,0,0,0,0,0,0.005995717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005657433,0,0.005570118,0,0,0,0.049952577,0,0.024104028,0,0,0,0,0,0,0.003176342,0,0.008357558,0,0.012593017,0,0.042427497,0,0,0,0.052955665,0.021452145
ASV194,0,0,0,0,0,0,0,0,0,0.031632653,0,0.005432322,0,0,0,0,0,0,0,0,0.007640449,0,0.00269451,0.011134904,0.029174426,0.018594273,0.048133595,0.005636605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041578947,0.020661157,0.014548449,0.018229932,0,0.047567175,0.002409639,0.037060302,0,0,0.024613623,0,0,0,0,0,0,0
ASV201,0,0,0,0,0,0.001729107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029213483,0.015765766,0.013809363,0.0124197,0.014276847,0.007065824,0.003929273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001365587,0,0.003931848,0,0,0,0,0.03518335,0.011417697,0.031578947,0.012987013,0.036508372,0.006468686,0.011213277,0.015250545,0,0,0,0,0.022896394,0.016679497,0,0,0,0,0,0
ASV204,0,0,0,0,0,0,0,0,0,0,0.426628895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030561798,0.092342342,0.03334456,0.035974304,0.018001241,0.029007066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015938607,0.04584134,0.013525434,0.007176497,0.010893246,0,0,0,0,0,0,0,0,0,0,0,0
ASV217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06504065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032310934,0.059779077,0,0.045264624,0,0.053598775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV222,0,0,0,0.005892256,0,0.047262248,0,0.010493179,0,0,0,0.014486193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009332024,0.011438992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023395511,0,0,0,0,0,0,0,0,0.002409639,0,0.014171512,0.003861518,0,0,0.026315789,0.019138756,0,0,0.073891626,0
ASV234,0,0.01754386,0,0.005050505,0,0,0,0.00275446,0,0.01122449,0,0.009053871,0,0,0,0,0,0,0.011450382,0.005093379,0.002696629,0.003378378,0.001347255,0.002997859,0.008690255,0.00409074,0.002455796,0.001160477,0.003696858,0.00100452,0,0,0.00990099,0,0.000234137,0,0.004126547,0,0,0.004594181,0,0.010752688,0,0.00702302,0,0.013761468,0,0.008264463,0.004090909,0.003477711,0.006442022,0.004757374,0.006842105,0.002951594,0.00576448,0.001470156,0.004709576,0.005083515,0.000876232,0.001256281,0.001090116,0.000399467,0.004006869,0.004105722,0.009667025,0.004784689,0,0.002785515,0.006157635,0.000825083
ASV235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030530303,0.073980398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057831889,0,0.15130674,0,0.10970297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV248,0,0,0,0.010942761,0,0,0,0.001705142,0,0,0,0,0.002467782,0,0,0.000373692,0,0,0,0.001131862,0.005393258,0,0.004041765,0.001713062,0.008069522,0.004834511,0.013261297,0.00397878,0.009242144,0.00100452,0,0,0,0,0.003980332,0,0,0.006267409,0,0,0,0.003308519,0,0.010339446,0,0.002621232,0,0,0.00280303,0.000632311,0.003468781,0.002537266,0.003157895,0,0.00576448,0.002940312,0.008297825,0.001452433,0.002738226,0.010678392,0.004360465,0.002929427,0.008013738,0.003849115,0.003222342,0.002658161,0.020833333,0,0.009852217,0.001650165
ASV250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002543605,0.006524634,0,0,0,0.007974482,0,0,0,0
ASV254,0,0,0,0,0,0,0,0,0,0,0.325212465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV259,0,0,0,0,0,0,0,0,0,0.03877551,0,0.066093255,0,0,0,0,0,0,0,0,0,0,0.010104412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003176342,0.032035176,0.018895349,0.023568575,0,0,0,0,0,0,0,0
ASV260,0,0.068226121,0,0,0,0.003458213,0,0,0,0,0,0.038026256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021459227,0,0.010484928,0,0,0,0,0.007928642,0.006977482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065037004,0.096586783,0,0,0,0,0,0,0,0,0,0,0,0
ASV271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039393939,0,0.009415263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV273,0,0,0,0.01010101,0,0.004610951,0,0.00996852,0,0,0,0,0.042500685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009040683,0.2,0.015384615,0.00990099,0,0.031608523,0.033138402,0.031636864,0.004874652,0,0.009188361,0,0,0,0,0,0,0,0.099173554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004537954
ASV274,0,0,0,0,0,0,0,0,0,0.044897959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009421842,0.031036623,0,0.053045187,0.003149867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031714569,0,0,0.068476978,0,0,0,0,0,0,0,0,0,0.014883244,0,0.007974482,0,0,0,0
ASV276,0,0,0,0,0,0.004034582,0,0.014821616,0,0,0,0.006337709,0,0,0,0,0,0,0,0,0,0,0,0.000428266,0,0.001115656,0.004911591,0.013262599,0,0,0,0,0,0,0.012643409,0.01754386,0,0,0,0,0,0,0,0.013265704,0,0,0,0,0,0,0,0,0,0.004132231,0,0.014701558,0.002242655,0.009803922,0,0,0,0,0,0.001796254,0.009667025,0.01010101,0,0.004178273,0,0.001650165
ASV279,0,0,0,0,0,0,0,0,0.073289902,0,0,0.003168855,0,0,0,0,0,0,0,0,0,0,0,0,0.011173184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.028335301,0,0.006174655,0.001345593,0.013435004,0.003066813,0.039572864,0.005450581,0,0.020606754,0.024121119,0,0,0,0,0,0
ASV282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008973859,0,0.06225426,0,0,0,0,0,0,0,0,0,0,0.00201839,0.041757444,0,0,0,0,0,0,0,0,0,0,0,0
ASV286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00530504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027954545,0.015175466,0,0.012369172,0,0,0,0,0,0,0,0,0.002906977,0,0,0,0,0,0,0,0,0
ASV289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017977528,0.074324324,0.013135736,0.015845824,0.001241465,0.003346969,0,0.00132626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032631579,0.008264463,0.028273401,0.018523964,0.002242655,0.015613653,0,0,0,0,0,0,0,0,0,0,0,0
ASV291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015730337,0,0.015156618,0.005995717,0.016139044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072631579,0,0,0,0,0,0.003943045,0.050251256,0,0,0.017744705,0.022068258,0,0,0,0,0,0
ASV293,0,0,0,0.005892256,0,0.009798271,0,0.004853095,0,0,0,0.004979629,0.003290376,0,0,0.007100149,0,0,0,0.001131862,0.001348315,0,0.001347255,0.001713062,0.010552452,0.004834511,0.018172888,0.007460212,0.018484288,0.006529382,0,0,0,0,0,0,0,0.007660167,0,0,0,0,0,0,0,0,0,0,0.000909091,0.001896933,0.00148662,0.000951475,0,0,0,0,0,0,0.004600219,0.004396985,0.00962936,0.00758988,0,0,0,0,0.029166667,0.025069638,0.003694581,0.003712871
ASV299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018426966,0.012387387,0,0.009421842,0.069522036,0.01636296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012631579,0.0094451,0.003568488,0,0.044180309,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064668238,0.028265525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006462212,0,0.017078488,0.008788282,0,0,0,0,0,0,0,0
ASV307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046168959,0.006133952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020909091,0.017704711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005393258,0,0.019872011,0.005139186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016542597,0,0.008973859,0,0,0,0,0,0,0,0,0.005263158,0,0.006313478,0.017053808,0,0,0.009309967,0.042085427,0.009992733,0.001997337,0,0,0,0,0,0,0,0
ASV309,0,0,0,0,0.140606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034521788,0,0,0,0,0,0,0.012770138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012406948,0,0,0,0.018348624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110891089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034655952,0,0,0,0,0,0.026640676,0,0.036908078,0,0.073506891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019138756,0,0,0,0
ASV322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006741573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064915758,0.01649223,0,0,0,0,0.022426553,0.00617284,0,0,0,0,0.032054951,0.00872466,0,0.014354067,0,0,0,0
ASV325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039425872,0.027696405,0,0,0,0,0,0,0,0
ASV329,0,0,0,0,0,0,0,0.044464848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017130621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017326733
ASV330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020224719,0,0,0,0.054624457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012105263,0,0,0.004116436,0.048889886,0,0,0.019472362,0,0,0,0,0,0,0,0,0,0
ASV331,0,0,0,0,0,0,0,0,0.232084691,0.051020408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001115656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004116436,0,0,0,0,0,0,0.018317115,0.00872466,0,0,0,0,0,0
ASV335,0,0,0,0,0,0,0,0,0,0.008163265,0,0.033952014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007228916,0.007537688,0.007267442,0.012516644,0,0,0,0,0.0125,0,0.051724138,0.025577558
ASV336,0,0,0,0,0,0,0,0.052859391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV342,0,0,0,0,0,0,0,0,0,0,0,0,0.003016178,0,0,0,0,0,0,0,0.064719101,0.076576577,0.022229707,0.04111349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201839,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV343,0,0,0,0,0,0,0,0,0,0.025510204,0,0.021729289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002847755,0,0.031068314,0.016245007,0,0,0,0,0,0,0,0
ASV347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025974026,0.008234971,0.042046457,0,0,0.006133625,0.015075377,0,0,0,0.015909674,0.012889366,0.003189793,0,0,0,0
ASV349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024663677,0,0,0,0,0,0,0,0,0,0,0,0.00198939,0,0.006529382,0,0,0,0,0,0,0,0.009749304,0,0,0,0,0,0,0,0,0,0,0.000606061,0.015175466,0.006937562,0.035204567,0,0,0,0,0,0,0,0,0.003633721,0.007723036,0,0,0,0,0,0,0,0
ASV353,0,0,0,0.004208754,0,0.000576369,0,0.000918153,0,0,0,0.007243096,0,0,0,0,0,0,0,0.000565931,0.00494382,0,0.002020882,0.000856531,0.013035382,0.003346969,0.00540275,0.001823607,0.005545287,0.00100452,0,0,0,0,0,0,0,0,0,0,0,0.004962779,0,0.001170503,0,0.002621232,0,0,0.001060606,0.002213089,0.011892963,0.004757374,0.007368421,0,0.000548998,0.000588062,0.002466921,0.004720407,0.001971522,0.003140704,0.002543605,0.001864181,0.005151689,0.003592507,0.009667025,0.007974482,0.00625,0.002785515,0.00862069,0.002062706
ASV355,0,0,0,0,0,0.00518732,0,0,0,0,0,0.004979629,0.00411297,0,0,0,0,0,0,0.002263724,0,0,0,0.005995717,0,0,0.013261297,0,0,0,0,0,0.034653465,0,0,0,0.071526823,0,0,0,0,0,0,0,0,0,0,0,0,0.041100221,0,0,0,0,0,0,0,0,0.000985761,0.009422111,0,0,0.012593017,0.003592507,0,0,0.0125,0,0,0
ASV356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013460788,0,0.012778506,0,0,0.004015152,0,0,0,0,0,0.009332967,0,0.008746356,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV360,0,0,0,0,0,0,0,0,0,0.065306122,0,0.120869172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004875545,0.009667025,0,0,0,0,0
ASV363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024736842,0.018299882,0.048037332,0.026462805,0.003812514,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004282655,0,0,0.012278978,0,0,0,0,0,0,0,0,0,0.11829436,0,0,0.02143951,0,0,0,0,0,0.00655308,0,0.024793388,0,0,0,0,0.011578947,0.005312869,0.004117486,0,0,0,0,0.021984925,0.002361919,0,0,0,0,0,0,0,0,0
ASV375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011314865,0,0,0,0,0,0,0,0,0,0,0,0.010291091,0,0,0.021467689,0,0.010174419,0,0,0,0,0,0,0,0,0
ASV377,0,0,0,0.043771044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014113421,0,0,0,0,0,0
ASV378,0,0,0,0,0.206060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007357102,0.000449438,0,0,0.000856531,0.001241465,0.000743771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001896933,0.00148662,0,0.016842105,0.007674144,0.004117486,0.005880623,0.006952231,0.008351489,0.007119387,0.000628141,0,0,0,0,0,0,0.052083333,0.034818942,0.009852217,0.011551155
ASV388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013483146,0,0.090602897,0.011563169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006868918,0.054400821,0.014500537,0.039872408,0,0,0,0
ASV406,0,0,0,0,0,0,0,0,0,0.012244898,0,0.00769579,0,0,0,0,0,0,0,0,0,0,0.00269451,0.005567452,0,0.00409074,0,0.007625995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011579818,0,0.003706594,0,0,0,0,0,0,0,0,0,0.001770956,0,0.00499853,0.000448531,0.000363108,0.005695509,0.003768844,0.002361919,0.002929427,0.005151689,0.003335899,0.013426423,0,0,0.013927577,0,0
ASV407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007640449,0,0.00808353,0,0,0.005578282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008939394,0,0.028741328,0.021566762,0,0,0,0,0,0,0,0,0,0,0.006868918,0,0,0,0,0,0,0
ASV409,0,0.037037037,0,0.013468013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07696661,0,0,0,0,0,0.004462626,0.012278978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007863696,0,0,0,0.005058489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV411,0,0,0,0,0,0,0,0,0,0.003061224,0,0,0,0,0,0,0,0,0,0,0.000449438,0.001126126,0.002020882,0.005139186,0,0.00409074,0.002946955,0.00464191,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006617039,0,0.007803355,0,0,0,0,0,0,0,0,0.004210526,0.001180638,0.004391985,0.013525434,0.000224266,0.001452433,0.004052574,0.004396985,0.00090843,0,0,0.004618938,0.012889366,0.010632642,0,0,0,0
ASV412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026691641,0,0,0,0.075247525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV416,0,0,0,0,0,0.055907781,0,0.013247639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023514851
ASV426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0,0,0,0,0,0,0,0.018621974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033201189,0,0,0,0.030194894,0,0,0,0,0,0,0,0.010303377,0,0,0,0,0,0,0
ASV428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04615871,0,0.004440216,0,0,0,0,0,0,0.009419496,0,0,0.006125166,0,0,0,0,0,0,0,0
ASV429,0,0,0,0,0,0,0,0,0,0,0,0.002716161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025758443,0.040287401,0.009667025,0.035087719,0,0,0,0
ASV434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013175954,0.009114966,0.02309935,0.038126362,0,0,0,0,0,0,0,0,0,0,0,0
ASV436,0,0,0,0,0,0,0,0,0,0.066326531,0,0,0,0,0,0,0,0,0.129770992,0,0.00494382,0.007882883,0,0.002997859,0,0.005206396,0.012278978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00049554,0,0,0.061983471,0,0,0.003812514,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030451866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069870376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041208148,0.027290448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028017241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021654311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
