,P115-0-5-7-D-AMFungi,GW-P115-7-F-AMFungi,P115-5-15-22-D-AMFungi,P115-22-F-AMFungi,P122-0-5-10-D-AMFungi,P122-10-F-AMFungi,P122-25-D-ITS2-AMFungi,P122-25-F-ITS2-AMFungi,P133-0-5-15-D-AMFungi,P133-15-F-AMFungi,P133-5-15-30-D-AMFungi,P133-30-F-AMFungi,P117-5-15-51-D-ITS2,DW-17-5-15-51-F-ITS2,P138-5-15-60-D-ITS2,DW-38-5-15-60-F-ITS2,P138-0-5-45-D-ITS2,LDW-38-0-5--45-F-ITS2,P141-0-5-95-D-ITS2,LDW-41-0-5-95-F-AMFungi,AM2-UF-0-5-D-AMFungi,AM2-UF-0-5-F-AMFungi,AM2-UF-5-15-D-AMFungi,AM2-UF-5-15-F-AMFungi,AM3-UF-0-5-D-AMFungi,AM3-UF-0-5-F-AMFungi,AM3-UF-5-15-D-AMFungi,AM3-UF-5-15-F-AMFungi,ECM2-UF-5-15-D-AMFungi,ECM2-5-15-F-AMFungi,ECM2-UF-0-5-D-AMFungi,ECM2-UF-0-5-F-AMFungi,MV6-Ref-0-5-D-AMFungi,MV6-Ref-0-5-F-AMFungi,MV6-Ref-5-15-D-AMFungi,MV6-Ref-5-15-F-AMFungi,MV9-Ref-0-5-D-AMFungi,MV9-Ref-0-5-F-AMFungi,MV9-Ref-5-15-D-AMFungi,MV9-Ref-5-15-F-AMFungi,123-0-5-67-D-AMFungi,23-0-5-67-F-AMFungi,P123-5-15-D-ITS2,23-5-15-82-F-AMFungi,P24-0-5-68-D-AMFungi,P24-0-5-68-F-AMFungi,P102-0-5-73-D-AMFungi,102-0-5-73-F-AMFungi,P102-5-15-D-AMFungi,P102-5-15-F-AMFungi,P102-0-5-D-AMFungi,P102-0-5-F-AMFungi,P18-0-5-D-AMFungi,P18-0-5-F-AMFungi,P18-5-15-D-AMFungi,P18-5-15-F-AMFungi,P19-5-15-D-AMFungi,P19-5-15-F-AMFungi,P4-0-5-D-AMFungi,P4-0-5-F-AMFungi,P4-5-15-D-AMFungi,P4-5-15-F-AMFungi,P55-0-5-D-AMFungi,P55-0-5-F-AMFungi,P55-5-15-D-AMFungi,P55-5-15-F-AMFungi,P6-0-5-D-AMFungi,P6-0-5-F-AMFungi,P6-5-15-D-AMFungi,P6-5-15-F-AMFungi
ASV58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064269663,0.277027027,0.049848434,0.068950749,0.116697703,0.10896244,0,0.033985411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151578947,0.051357733,0.126269558,0.046162893,0.060327428,0.066085694,0,0,0,0,0,0,0,0,0,0,0,0
ASV59,0,0,0,0,0,0.001152738,0,0.009181532,0,0,0,0,0.038661914,0.885162231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153419593,0.009542943,0,0.176923077,0.106435644,0,0.013814095,0.039636127,0.100412655,0.013927577,0,0,0,0,0,0,0,0.012123198,0,0,0.093939394,0,0.043607532,0.028861402,0,0.000590319,0,0,0.005830904,0,0,0.00879397,0,0,0,0,0,0,0.025,0,0.003694581,0
ASV64,0,0.093567251,0,0.023569024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006385069,0.015086207,0,0,0,0,0,0.119335347,0.014282369,0,0.063273728,0,0,0,0,0,0,0.008583691,0,0.02785059,0,0,0.111439394,0,0.026759167,0.025372661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010135135,0,0,0,0,0,0,0,0,0,0,0.138613861,0,0.011940997,0,0,0,0,0.090352221,0,0,0,0.020288724,0,0.055373526,0,0,0.095833333,0.044577932,0,0.00729464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033955857,0.051235955,0.054054054,0.073425396,0.040685225,0.024829299,0.034585348,0,0.007791777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004962779,0,0.012290285,0,0,0,0,0,0,0,0,0.004736842,0.023612751,0.00850947,0.037341958,0.031845705,0.030501089,0.018838992,0.010050251,0,0.006790945,0.065827132,0.133692584,0,0.009037746,0,0,0,0
ASV73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044772727,0,0,0.040596258,0,0,0,0,0,0,0.067688938,0.02638191,0.030886628,0.046338216,0,0,0,0,0,0.043175487,0,0.036716172
ASV83,0,0,0,0,0,0.123342939,0,0.044727177,0,0,0,0.007243096,0.011516315,0,0,0,0,0,0,0,0.003146067,0,0.007073089,0,0,0,0.013752456,0.00397878,0,0,0,0,0.069306931,0,0.003980332,0.009746589,0,0,0,0.049004594,0,0.012406948,0,0,0,0,0,0,0,0,0.016352825,0.01649223,0.015789474,0.014757969,0,0,0.010091949,0,0.010295728,0.013819095,0.04778343,0.015446072,0.024613623,0.00872466,0.077336198,0.020733652,0,0,0.086206897,0
ASV91,0,0.050682261,0,0,0,0.074927954,0,0.030561385,0,0.010204082,0,0,0,0,0,0,0,0,0,0.01754386,0,0,0,0,0,0.009297136,0,0.011438992,0,0,0,0,0,0.231117825,0,0,0,0,0,0,0,0.010752688,0,0.003316426,0,0,0,0,0,0,0.018334985,0.018078021,0,0,0,0,0,0,0.006243154,0,0.027434593,0.010519308,0.024041214,0.020528612,0.090225564,0.04040404,0,0,0.061576355,0.016914191
ASV93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014148274,0.087191011,0.025900901,0.026945099,0.021841542,0,0.011528449,0.004911591,0.007128647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017369727,0,0.004682013,0.154411765,0.003604194,0,0,0,0,0.015857284,0,0.076842105,0.056080283,0.037606368,0.048515143,0.02108096,0.019244735,0,0,0,0,0.107040641,0.055427252,0,0,0.002083333,0,0,0
